#{"t_start": 1685497389.2568872, "env_id": "quantumEnvMeasureFilter-v0"}
r,l,t
-2606.451342,499,100.610734
-2603.405551,499,201.392496
-1172.520085,499,304.263117
-2353.162947,499,407.658916
-1650.753607,499,507.698108
-2401.893585,499,853.235589
-2534.907408,499,956.370949
-1959.136569,499,1061.191781
-3578.757642,499,1163.48594
-2099.756225,499,1268.59646
-2973.610823,499,1617.794655
-2116.815025,499,1722.999463
-1874.920271,499,1827.452893
-1944.213649,499,1929.798335
-2890.260236,499,2033.211179
-1903.037966,499,2380.701323
-2219.003517,499,2486.369345
-2251.445433,499,2590.140892
-3316.114604,499,2692.714434
-1574.70624,499,2797.685315
-3463.094289,499,3145.513898
-1670.393453,499,3250.782916
-2401.167486,499,3355.313903
-1856.13634,499,3459.63092
-3201.19873,499,3565.558621
-3067.984812,499,3912.194483
-1978.280498,499,4015.585496
-3171.971293,499,4119.767557
-2219.670247,499,4225.225194
-2426.990241,499,4331.609899
-2616.121489,499,4677.971488
-2218.864304,499,4781.676482
-2655.767864,499,4885.103758
-2070.711717,499,4989.535426
-2909.369491,499,5096.164598
-2239.092407,499,5438.813731
-2604.268142,499,5541.480398
-2644.80139,499,5645.225849
-2246.829636,499,5750.798783
-1832.266698,499,5858.564892
-2546.544825,499,6204.504202
-2536.879037,499,6307.457483
-2831.122197,499,6411.573493
-1797.883353,499,6517.979295
-2299.227388,499,6626.589635
-1446.461816,499,6969.441482
-3191.679758,499,7071.912086
-2700.98621,499,7175.960572
-2523.124684,499,7282.039614
-3027.448694,499,7389.763129
-2193.837241,499,7734.972688
-2426.94619,499,7837.917711
-1784.402875,499,7942.434971
-2171.98766,499,8048.975514
-2255.964855,499,8155.942907
-2419.106879,499,8498.337768
-2988.761783,499,8599.761029
-1899.640946,499,8704.198117
-3341.118704,499,8810.020475
-1381.770366,499,8917.454158
-2556.108217,499,9263.15238
-3044.188842,499,9365.290718
-1700.899608,499,9472.146637
-2287.585457,499,9576.883197
-2048.756572,499,9683.846402
-3011.065751,499,10026.091734
-2096.928322,499,10129.036373
-2126.847803,499,10236.360716
-2451.178348,499,10342.535746
-1856.364398,499,10450.508129
-1755.985266,499,10790.420721
-2739.653213,499,10893.962667
-3824.815605,499,11001.63716
-2161.093307,499,11109.011735
-1875.140666,499,11217.32801
-1919.567228,499,11557.455437
-2308.853385,499,11661.36226
-1988.840753,499,11768.750956
-1994.719519,499,11877.891678
-2726.067077,499,11985.452618
-2451.775245,499,12325.192132
-2641.756595,499,12429.477139
-2558.918856,499,12537.24506
-1457.443278,499,12645.141945
-2127.22031,499,12754.453222
-3698.939683,499,13091.114686
-1722.931311,499,13195.780378
-1771.081264,499,13301.425595
-2318.207699,499,13410.759998
-3131.27994,499,13520.98932
-2530.31009,499,13857.324826
-2347.113461,499,13963.915742
-2198.223639,499,14070.163898
-1778.740294,499,14180.117519
-2066.994036,499,14291.508687
-3635.804474,499,14626.513111
-2532.143112,499,14731.508189
-2004.570209,499,14837.367909
-2584.892896,499,14945.938086
-1773.906179,499,15057.424423
-2314.644606,499,15395.122793
-2606.273869,499,15500.299357
-1466.659418,499,15607.33364
-2849.814131,499,15715.565741
-1570.893887,499,15827.420552
