#{"t_start": 1685893071.7412546, "env_id": "quantumEnvMeasureFilter-v0"}
r,l,t
-610.850302,499,25.315799
-583.221868,499,50.148598
-548.02159,499,75.294898
-519.702647,499,100.354853
-489.71628,499,125.164106
-589.029907,499,151.069426
-543.3916,499,176.019392
-477.63101,499,201.561131
-624.690223,499,226.704709
-503.940062,499,252.028105
-585.390981,499,277.867268
-593.427822,499,302.668129
-488.603227,499,327.661723
-571.289495,499,352.744846
-483.210675,499,377.596969
-558.688144,499,403.492791
-565.095224,499,428.288868
-583.432308,499,453.259912
-485.598051,499,478.216191
-520.323806,499,503.688215
-544.851096,499,529.327874
-638.984838,499,554.110491
-577.383294,499,579.198801
-617.287205,499,603.992048
-510.555289,499,628.907616
-536.840278,499,654.47168
-555.1971,499,679.43852
-645.170132,499,704.829494
-548.032039,499,730.043368
-637.693229,499,754.832028
-504.856426,499,780.435425
-527.490339,499,805.584557
-513.768959,499,830.657662
-531.18931,499,855.417981
-533.615829,499,880.145559
-492.628639,499,905.979565
-578.767042,499,931.185776
-483.426797,499,956.14184
-479.353773,499,981.008804
-505.248755,499,1005.751857
-578.40277,499,1031.367684
-509.562756,499,1056.410079
-547.501991,499,1081.392411
-613.992311,499,1106.206057
-625.824188,499,1131.214916
-484.703267,499,1156.847703
-508.736948,499,1181.760245
-558.842146,499,1206.736083
-554.333184,499,1231.589656
-525.420822,499,1256.535702
-551.76303,499,1284.523987
-577.716584,499,1310.068206
-536.61688,499,1335.227212
-630.347213,499,1360.150495
-483.036023,499,1385.299914
-512.631983,499,1411.145996
-511.229643,499,1436.252149
-560.873892,499,1461.275674
-488.245181,499,1486.47352
-549.74452,499,1511.526925
-585.407335,499,1537.678023
-478.255109,499,1562.668982
-531.576762,499,1587.648979
-512.336276,499,1612.792654
-596.477933,499,1637.881015
-533.668103,499,1663.919629
-564.260721,499,1688.903644
-647.171882,499,1714.021902
-587.78043,499,1739.121704
-558.56726,499,1764.381476
-431.58799,499,1790.270997
-562.37427,499,1815.435232
-561.686057,499,1840.562377
-520.524455,499,1865.56951
-549.005333,499,1890.588309
-566.842697,499,1916.567562
-586.5842,499,1941.583373
-580.181408,499,1966.860981
-489.431504,499,1991.964124
-571.367027,499,2017.198179
