#{"t_start": 1685496921.118776, "env_id": "quantumEnvMeasureFilter-v0"}
r,l,t
-1988.121015,499,87.727284
-1535.590319,499,174.283509
-1301.388998,499,258.402964
-1472.273459,499,343.111772
-1599.806498,499,435.530587
-1790.235112,499,776.042335
-1448.95168,499,881.331957
-1313.554058,499,986.83392
-1995.04944,499,1101.181935
-1705.74296,499,1217.353931
-1866.013045,499,1562.826676
-1299.132241,499,1667.614272
-1364.028936,499,1775.515191
-1823.286984,499,1888.848085
-1464.531509,499,2003.737102
-1483.066802,499,2349.250038
-1142.834706,499,2456.569492
-1527.78842,499,2567.419279
-1498.153512,499,2684.219146
-1312.659306,499,2796.389402
-1379.079174,499,3141.996636
-1328.69899,499,3251.871029
-1427.484567,499,3366.924975
-1249.483943,499,3484.703625
-1794.020514,499,3596.369932
-1601.682702,499,3939.583326
-1466.117248,499,4050.993323
-1147.827794,499,4167.377704
-1426.95613,499,4283.542312
-1794.974296,499,4391.913169
-1969.63679,499,4734.247062
-1262.750866,499,4847.423284
-1302.427009,499,4964.642184
-1651.462186,499,5079.07997
-1351.407847,499,5187.530603
-1598.739633,499,5530.708929
-1404.646244,499,5644.718818
-1318.426746,499,5763.053432
-1348.399142,499,5874.895488
-1199.153854,499,5980.354256
-1248.283502,499,6327.099715
-1493.350524,499,6439.971731
-1146.359495,499,6556.3648
-1287.980306,499,6665.939783
-1324.050033,499,6771.730327
-1805.067172,499,7119.625229
-1522.957872,499,7236.448737
-1404.62318,499,7353.241929
-1218.499357,499,7461.636393
-1456.705202,499,7568.187497
-1532.020085,499,7915.68583
-1711.413143,499,8033.234117
-1355.172432,499,8146.835494
-1452.095774,499,8253.289962
-1653.3528,499,8361.573394
-1498.395098,499,8711.209978
-1357.827226,499,8829.299069
-1139.872262,499,8939.646503
-1295.670948,499,9045.02192
-1315.550266,499,9154.326409
-1184.704861,499,9512.093793
-1420.590728,499,9628.364206
-1333.087833,499,9735.285498
-1242.265598,499,9840.74808
-1199.735086,499,9951.567955
-1800.606268,499,10306.148769
-1817.473146,499,10419.78301
-1668.115359,499,10524.248085
-1041.799092,499,10630.130302
-1424.811199,499,10741.960907
-2142.100505,499,11100.136092
-2133.808435,499,11211.666402
-1475.720967,499,11317.223544
-1687.453729,499,11426.44203
-1598.365207,499,11539.255728
-1468.896789,499,11895.023494
-1508.911773,499,12003.363733
-1316.380454,499,12109.052936
-1304.629734,499,12218.83228
-1378.66843,499,12331.802874
-1282.286881,499,12691.371799
-1364.329898,499,12798.176664
-1277.865596,499,12906.393269
-1228.35309,499,13017.627494
-1008.993516,499,13129.247416
-1440.684282,499,13484.063923
-1826.784633,499,13591.491914
-1549.938462,499,13700.287446
-1590.796808,499,13812.731309
-1136.302616,499,13926.280801
-1272.365605,499,14278.238039
-2104.83425,499,14384.37578
-1665.904929,499,14493.17245
-1514.702614,499,14603.367327
-1258.123185,499,14716.955242
-1784.407219,499,15065.138558
-1418.625221,499,15171.541501
-1740.605513,499,15281.161117
-1273.252036,499,15394.70873
-1177.432407,499,15508.533592
-1365.487363,499,15856.551939
-1106.260631,499,15964.63439
-1354.02895,499,16075.403897
-1426.157704,499,16189.460001
-976.396997,499,16305.007704
-1355.133892,499,16648.597001
-1748.929732,499,16757.389154
-1576.57788,499,16872.131504
-1479.051178,499,16987.909245
-1295.310054,499,17102.995049
-1373.499623,499,17446.544317
-1559.602288,499,17556.658533
-1561.165567,499,17669.691543
-1425.937691,499,17784.259033
-1515.087005,499,17897.479379
-1453.742476,499,18238.777215
-1375.082034,499,18348.130193
-1862.936026,499,18465.428208
-1187.208141,499,18580.456848
-1181.364623,499,18693.865174
-1302.310562,499,19035.027106
-1328.238972,499,19147.212633
-1288.194366,499,19263.651569
-1425.0595,499,19377.146252
-1228.526108,499,19488.732543
-1410.732217,499,19828.133446
-1428.24635,499,19943.793297
-1806.551346,499,20060.548208
-1537.512814,499,20171.280971
-1361.09988,499,20283.494638
-1070.309494,499,20621.358301
-1270.412296,499,20738.802765
-1886.555553,499,20855.425915
-2226.734896,499,20965.289501
-1379.583012,499,21076.72086
-1316.90129,499,21414.889391
-1919.251069,499,21531.656479
-1729.205014,499,21645.054362
-1343.709028,499,21754.321701
-1241.188718,499,21865.168113
-1319.741849,499,22207.612767
-1097.98752,499,22324.106793
-1154.651759,499,22434.390795
-1543.867332,499,22543.409629
-1542.980073,499,22654.481569
-1024.420778,499,23001.149768
-1340.056631,499,23115.922826
-1685.367746,499,23225.824346
-1841.416784,499,23333.182532
-1421.463956,499,23440.689133
-1279.665424,499,23795.791339
-1310.476818,499,23910.976147
-1471.325829,499,24019.507302
-1649.718256,499,24127.25395
-1627.428688,499,24235.819459
-1514.177654,499,24593.379319
-1466.59734,499,24706.899119
-1714.723306,499,24815.410884
-1616.545516,499,24922.885984
-1261.128612,499,25032.975703
-1161.888725,499,25397.888827
-1077.858596,499,25509.311667
-1271.087834,499,25615.878511
-1273.134336,499,25726.046485
-1393.780576,499,25839.016423
-1219.212643,499,26202.512966
-1381.989585,499,26311.175591
-1328.495645,499,26418.405813
-1621.275557,499,26529.96575
-1623.114329,499,26645.343119
-1452.139715,499,27002.808677
-1083.52039,499,27109.934062
-1373.575354,499,27218.413508
-1645.532997,499,27331.514787
-2012.485502,499,27447.822757
-1616.532198,499,27801.581325
-1442.816883,499,27909.289786
-1930.504018,499,28021.883764
-1312.876078,499,28137.814174
-1391.974546,499,28251.553628
-1393.550072,499,28601.370312
-1293.036458,499,28709.487902
-1087.101701,499,28825.044358
-1475.023032,499,28940.462016
-1575.820313,499,29055.773444
-1617.327352,499,29399.521072
-992.113964,499,29515.603905
-1570.74028,499,29633.531147
-1934.085348,499,29746.837983
-1515.880607,499,29859.057525
-1655.97254,499,30199.104426
-1203.121529,499,30314.717357
-1172.30831,499,30433.079654
-1961.670616,499,30546.858677
-1655.690563,499,30658.062955
-1772.697404,499,31000.148387
-1393.629288,499,31117.714746
-1754.645281,499,31233.550038
-1895.264601,499,31346.400793
-1518.869796,499,31457.078787
-1330.128652,499,31805.213397
-1114.857819,499,31924.155396
-1576.122015,499,32038.445651
-1261.836092,499,32146.566449
-1317.667046,499,32256.885783
-1303.230624,499,32604.771827
-1112.03823,499,32720.764101
-1084.195796,499,32834.094701
-1200.245238,499,32943.160583
-1561.965408,499,33052.415768
-1523.873924,499,33407.326705
-1538.403371,499,33523.121525
-1055.7247,499,33633.752378
-1364.937807,499,33741.840152
-1714.008983,499,33851.558712
-1929.646758,499,34202.997313
-1437.636607,499,34316.106239
-1353.50596,499,34425.97486
-1717.022309,499,34533.516423
-1338.539734,499,34645.205849
-1367.842281,499,35002.262726
-1309.393785,499,35115.317752
-1292.890234,499,35226.145941
-1024.618671,499,35335.961436
-1182.989815,499,35450.420206
-1554.04464,499,35801.592942
-1496.108079,499,35912.306178
-970.348032,499,36020.994713
-1263.585902,499,36133.636842
-1555.108479,499,36248.371973
-1725.928153,499,36598.648817
-1763.307049,499,36708.970883
-1228.964349,499,36819.031661
-1238.140675,499,36932.909178
-1534.43448,499,37044.277553
-1876.782001,499,37392.556907
-1634.870367,499,37503.053466
-1321.549764,499,37616.111763
-1394.706033,499,37730.595272
-1825.651507,499,37842.165839
-1487.230239,499,38192.219281
-1304.872547,499,38303.78815
-968.206791,499,38420.373513
-1325.597192,499,38533.994689
-1271.23314,499,38645.38923
-1539.932775,499,38992.511772
-1266.84708,499,39104.081824
-1223.65264,499,39218.685143
-1641.386106,499,39331.325506
-1347.23554,499,39442.24581
-1607.677742,499,39788.676408
-1585.09648,499,39900.019059
-1668.977578,499,40013.988419
-1140.519721,499,40128.259492
-1426.543786,499,40239.58026
-1673.304911,499,40586.895685
-2077.141549,499,40693.926473
-1426.747857,499,40806.333712
-1589.874521,499,40920.851066
-1653.776472,499,41031.360747
-1470.852159,499,41381.159302
-1655.058508,499,41489.704809
-1286.112378,499,41604.788002
-1404.302255,499,41718.799374
-1181.533723,499,41827.481278
-1529.726534,499,42176.445684
-1279.406298,499,42286.029918
-1656.63264,499,42401.606126
-1119.452907,499,42516.027864
-1092.264943,499,42627.855422
-1547.67537,499,42971.403304
-2003.008001,499,43084.61878
-1644.110869,499,43201.989747
-1087.162703,499,43315.751325
-1294.862979,499,43432.012508
-1560.1803,499,43771.751172
-1649.856234,499,43885.556666
-1710.992747,499,44001.91747
-1282.298309,499,44116.933269
-1416.220965,499,44234.52778
-1682.875408,499,44572.963937
-1613.305508,499,44688.390251
-1440.251546,499,44804.26547
-1168.424545,499,44920.507737
-1214.179855,499,45035.143953
-1344.298048,499,45373.732237
-1314.885464,499,45485.579783
-1237.392707,499,45602.830651
-1380.755527,499,45717.741306
-1232.688833,499,45828.383357
-1151.22732,499,46169.017484
-1646.572759,499,46282.995391
-1546.024656,499,46400.284931
-1524.895192,499,46514.385959
-1068.149015,499,46622.355334
-1499.412917,499,46970.821157
-1704.124491,499,47084.973512
-1896.967463,499,47198.18501
-1281.43058,499,47308.024347
-1407.446279,499,47416.893921
-1669.460001,499,47770.121068
-1339.092538,499,47886.432641
-1564.848307,499,47997.495448
-1276.176429,499,48106.616282
-1378.009748,499,48216.998995
-1310.691806,499,48574.092071
-1236.804182,499,48687.887564
-1258.901168,499,48795.708462
-1457.533223,499,48904.766929
-1084.835125,499,49015.541042
-1133.881088,499,49376.269866
-1447.34035,499,49486.892127
-1687.744856,499,49594.022841
-1413.566457,499,49704.581662
-1503.447983,499,49817.490746
-1280.671438,499,50179.286894
-1308.252582,499,50287.495544
-1550.204195,499,50396.438828
-1671.325516,499,50507.879909
-1376.710033,499,50623.897469
-1329.722197,499,50984.011989
-1688.985166,499,51091.678514
-1585.274445,499,51200.520368
-1472.061687,499,51312.653645
-1095.761541,499,51430.17888
-1312.302333,499,51782.322374
-1220.081384,499,51888.825223
-1354.451541,499,51996.709542
-1492.339985,499,52110.21451
-1526.746493,499,52225.649247
-929.736588,499,52573.609331
-1295.302169,499,52678.809161
-1663.841516,499,52790.456636
-1618.032722,499,52906.039887
-1636.585303,499,53019.879053
-1277.763568,499,53362.574397
-1326.403688,499,53469.477293
-1821.72837,499,53584.357491
-1939.807773,499,53698.898263
-1478.583134,499,53809.740247
-1427.022289,499,54156.194207
-1749.352619,499,54266.034726
-1693.704072,499,54384.495838
-1538.319343,499,54497.872821
-1230.339109,499,54606.373371
