#{"t_start": 1685496921.0542889, "env_id": "quantumEnvMeasureFilter-v0"}
r,l,t
-1397.958012,499,87.712998
-1815.493925,499,174.314466
-1797.552171,499,258.517987
-1907.191064,499,343.244915
-1188.186374,499,435.521223
-1581.391086,499,776.175497
-1451.440083,499,881.435494
-1687.041054,499,986.873176
-1306.709948,499,1101.298575
-1374.343621,499,1217.472437
-1517.134222,499,1562.872775
-1783.815411,499,1667.745879
-1487.210558,499,1775.66946
-1440.834046,499,1888.808626
-1557.785031,499,2003.757103
-1466.443129,499,2349.293462
-1308.196232,499,2456.65675
-1526.054304,499,2567.507669
-1628.662238,499,2684.215745
-1793.921595,499,2796.471215
-1242.686103,499,3142.179046
-1907.383414,499,3252.047463
-1183.891356,499,3366.991557
-1243.347183,499,3484.724822
-1234.027766,499,3596.458178
-1812.816517,499,3939.669471
-1626.158623,499,4051.092222
-1159.350881,499,4167.434148
-1543.556556,499,4283.578401
-1550.700595,499,4392.085413
-1787.52283,499,4734.259471
-1158.059057,499,4847.437443
-1363.136879,499,4964.761971
-1779.8129,499,5079.122096
-1433.038508,499,5187.575117
-1698.396485,499,5530.749322
-1711.065966,499,5644.837401
-1315.390254,499,5763.102209
-1605.730956,499,5875.032646
-1487.352944,499,5980.367545
-1240.245442,499,6327.293178
-1462.821341,499,6440.00996
-1657.257202,499,6556.501717
-1661.570909,499,6665.966392
-1677.014493,499,6771.775809
-1629.118665,499,7119.651217
-1069.711302,499,7236.511095
-1650.304643,499,7353.306438
-1524.568003,499,7461.656209
-1565.704112,499,7568.255756
-1537.84981,499,7915.764171
-1292.083345,499,8033.312201
-1353.888848,499,8146.923333
-1814.008744,499,8253.252807
-1703.731834,499,8361.662954
-1283.792927,499,8711.347723
-1517.410244,499,8829.390059
-1770.305911,499,8939.627258
-1524.002662,499,9045.149425
-1746.508515,499,9154.430107
-1265.673266,499,9511.935106
-1787.174797,499,9628.372921
-1735.613136,499,9735.27762
-1094.586825,499,9840.758523
-1293.052296,499,9951.741155
-1485.522382,499,10306.20894
-1887.562004,499,10419.874943
-1578.330594,499,10524.30222
-1526.703234,499,10630.231454
-1699.930761,499,10742.073185
-1196.721583,499,11100.136734
-1093.767028,499,11211.730993
-1870.439213,499,11317.278089
-1729.0528,499,11426.580382
-1313.488324,499,11539.266073
-1437.133795,499,11895.053298
-1595.267918,499,12003.355094
-1358.758907,499,12109.148227
-1622.749197,499,12218.830247
-1575.342901,499,12331.829529
-1448.544681,499,12691.085078
-1639.430893,499,12798.241058
-1671.745508,499,12906.492049
-1893.970467,499,13017.730656
-1424.767646,499,13129.366003
-1408.603936,499,13484.158962
-1793.790226,499,13591.566369
-1247.372363,499,13700.402139
-1239.057794,499,13812.87437
-1702.845769,499,13926.43593
-1902.729113,499,14278.272908
-1524.373676,499,14384.363717
-1573.321363,499,14493.250765
-1787.928803,499,14603.448773
-971.239391,499,14717.054172
-1171.341976,499,15065.282684
-1781.560901,499,15171.538543
-1815.708182,499,15281.162905
-1163.959075,499,15394.690154
-1418.137763,499,15508.609606
-1368.568421,499,15856.701702
-1829.968401,499,15964.669693
-2181.474187,499,16075.558387
-950.313766,499,16189.502304
-1721.443912,499,16305.104666
-1195.635307,499,16648.598929
-2053.145782,499,16757.519393
-1427.978575,499,16872.226715
-1233.726728,499,16987.955472
-1437.443971,499,17103.062655
-1641.567452,499,17446.554751
-1206.196589,499,17556.683222
-1789.127065,499,17669.742818
-1520.053881,499,17784.291821
-1834.501235,499,17897.61569
-1483.865767,499,18238.761225
-1442.785521,499,18348.19406
-1849.753257,499,18465.469164
-1187.351719,499,18580.554187
-1378.727387,499,18693.961612
-2072.814375,499,19035.401516
-1597.396924,499,19147.384786
-955.22994,499,19263.707761
-1564.221432,499,19377.20633
-1409.924708,499,19488.727433
-1378.291789,499,19828.231557
-1672.945539,499,19943.83796
-1249.45991,499,20060.67132
-2213.799358,499,20171.293534
-1396.404372,499,20283.490307
-1729.2878,499,20621.381736
-1526.051085,499,20738.918632
-1394.7904,499,20855.464219
-1525.60341,499,20965.443556
-1922.900344,499,21076.825187
-1264.711686,499,21415.008249
-1182.931105,499,21531.764495
-1760.968862,499,21645.016375
-1826.466621,499,21754.438699
-1690.467473,499,21865.277382
-1815.28777,499,22207.23637
-1536.123476,499,22324.152322
-1396.253549,499,22434.516445
-1077.48455,499,22543.431846
-2226.763778,499,22654.628609
-1802.062638,499,23001.175369
-1097.875542,499,23115.900229
-1833.182287,499,23225.871283
-1330.414713,499,23333.219468
-1582.838755,499,23440.846401
-1504.029278,499,23795.788776
-1166.848334,499,23911.089182
-1719.130576,499,24019.597902
-1454.009826,499,24127.27125
-1554.973268,499,24235.906717
-1488.618417,499,24593.443768
-1161.001181,499,24706.874182
-1495.104382,499,24815.554353
-1486.252017,499,24922.975776
-1410.745985,499,25033.021935
-1294.307217,499,25398.018233
-1544.648897,499,25509.344028
-1500.936404,499,25615.98935
-1931.741575,499,25726.145925
-1754.352949,499,25839.139168
-1330.268445,499,26202.642914
-1309.312575,499,26311.265595
-1216.26985,499,26418.53317
-1858.915652,499,26530.00882
-1798.726203,499,26645.489525
-987.85942,499,27002.89178
-1626.726771,499,27110.051902
-1328.20539,499,27218.485246
-1671.459094,499,27331.536435
-1249.851297,499,27447.899613
-1156.735518,499,27801.613528
-1970.311429,499,27909.296186
-1339.584891,499,28021.964972
-1996.498604,499,28137.897665
-1332.790037,499,28251.688999
-1293.370974,499,28601.510981
-1296.208541,499,28709.653454
-1559.598513,499,28825.23414
-1345.090855,499,28940.572405
-1458.897717,499,29055.858582
-1439.021232,499,29399.64325
-1799.65817,499,29515.680131
-1325.145109,499,29633.605913
-1910.511796,499,29747.020595
-1285.029214,499,29859.104644
-1381.684102,499,30199.250394
-1194.989621,499,30314.81806
-1773.696961,499,30433.161588
-1861.453923,499,30546.915635
-1173.660802,499,30658.171467
-1350.071634,499,31000.299351
-1524.100152,499,31117.720581
-1876.747359,499,31233.679974
-1197.303492,499,31346.503248
-1322.436151,499,31457.104639
-1708.690104,499,31805.628243
-1390.524239,499,31924.268407
-1758.593367,499,32038.510242
